Autor
Aldo Falcón
Alejandro Velázquez
Andrés Torres
Ángel Pacheco
Anhuar Jotar
Bertha Miranda
Carmen Larrieta
Consuelo Chong 
Daniel Martínez
David Cárdenas
Edmundo Pineda
Eduardo Iturbe
Elsa Saucedo
Erik Nava
Eulalio Larrieta
Gina Lorenzo
Ivette Espejel
Iza Hernández
Jackeline Vazquez
Jorge Martínez López
Joselyn Sánchez
Juan Carlos Santamaria
Julio Cesar Meléndez
Julio Valera
Karla Zamora
Lamán Carranza
Leonardo Herrera Juárez
Liz Argüelles
Lloydie Castillo
Locutor
Luis Omar Cansino
Lus Érick Ramírez
María Antonieta Islas
Miguel García Conde
Milton Cortés
Nadia Mejía
Panelistas
Radioescucha
Raúl Vargas
Raymundo Valencia
Roberto Rico
Rodolfo López
Rodolfo Ortiz
Romina Marín 
Romina Osorno
Sarkis Mikel Jeitani
Selene Ortega
Simey Olvera 
Tomás Sosa
Yolanda Karina Pérez
Brissia
Ivet
Zulikey
Víctor Hugo Espinosa
Nelly González
Javier Yáñez
Alfredo Hernández
Yucundo Hernández Escudero
Juan Carlos Peña
Jesús González
Raquel Linares
Jackeline Vázquez
