Dependencia,Organismo
Ayuntamiento,Agua
Ayuntamiento,Alcalde
Ayuntamiento,Ayuntamiento
Ayuntamiento,Obras públicas
Ayuntamiento,Policía municipal
Ayuntamiento,Regidor
Ayuntamiento,Exalcalde
Congreso,ASEH
Congreso,GLMorena
Congreso,GLPRI
Congreso,GLPAN
Congreso,GLPT
Congreso,GLPANALH
Congreso,GLMC
Congreso,GLPVEM
Congreso,GLPRD
Congreso,Junta de Gobierno
Congreso,Independiente
Cultura,Cecultah
Cultura,EMEH
Cultura,Titular
Cultura,Extitular
Cultura,Cultura
DIFH,PPNNAF
DIFH,Junta de Asistencia
DIFH,Titular
DIFH,Hospital del Niño
Hacienda,Catastro
Hacienda,Hacienda
Hacienda,Titular
Hacienda,Extitular
Gobernador,Gobernador
Morena,Morena
Morena,Alcalde
Morena,Diputado local
Morena,Diputado federal
Morena,Senador
Morena,Presidencia
Morena,Titular
Morena,Coordinador
Morena,Senador 2
Oficialía Mayor,Oficialía Mayor
Oficialía Mayor,Archivo
Oficialía Mayor,Titular
Oficialía Mayor,Extitular
PGJEH,UECS
PGJEH,PGJEH
PGJEH,Fede
PGJEH,Cespimpp
PGJEH,UEIDA
PGJEH,Titular
PGJEH,Extitular
Planeación,Citnova
Planeación,Planeación
Planeación,DESCTI
Planeación,Cedspi
Planeación,Titular
Planeación,Extitular
Otros,Otros
Saderh,Saderh
Saderh,Titular
Saderh,Extitular
Sedeco,CEMR
Sedeco,Valle de Plata
Sedeco,AEEH
Sedeco,CIH
Sedeco,Cofoin
Sedeco,IHCE
Sedeco,Sedeco
Sedeco,Coinhi
Sedeco,Fomento Económico
Sedeco,Titular
Sedeco,Extitular
Bienestar,Inhjuve
Bienestar,IAAMEH
Bienestar,Bienestar
Bienestar,Migrantes
Bienestar,Titular
Bienestar,Extitular
Segobh,IHM
Segobh,CD Mujeres
Segobh,PC
Segobh,CJMH
Segobh,Coespo
Segobh,Segobh
Segobh,CEAV
Segobh,Indemun
Segobh,SECESP
Segobh,Sipinna
Segobh,Ci3
Segobh,CBPEH
Segobh,Ifreh
Segobh,IDPH
Segobh,RTVH
Segobh,Titular
Segobh,Extitular
Semarnath,Semarnath
Semarnath,Proespa
Semarnath,PNCH
Semarnath,Coesbioh
Semarnath,Titular
Semarnath,Extitular
Semot,Semot
Semot,STCH
Semot,Sitmah
Semot,Titular
Semot,Extitular
SEPH,Inhide
SEPH,IHEA
SEPH,Básica
SEPH,Media superior
SEPH,Universidades
SEPH,CELCI
SEPH,IHE
SEPH,SEPH
SEPH,Inhife
SEPH,CEH
SEPH,IHFES
SEPH,Titular
SEPH,Extitular
Sipdus,Caasim
Sipdus,CEAA
Sipdus,CEVI
Sipdus,CAASVAM
Sipdus,Sipdus
Sipdus,Titular
Sipdus,Extitular
SSH,Copriseh
SSH,Cameh
SSH,Ceetra
SSH,LESP
SSH,CETS
SSH,APS
SSH,Repss
SSH,SSH
SSH,Titular
SSH,Extitular
SSPH,ASEH
SSPH,PIBEH
SSPH,IFP
SSPH,C5i
SSPH,UPC
SSPH,C3
SSPH,SSPH
SSPH,Bomberos
SSPH,Policía Violeta
SSPH,Titular
SSPH,Extitular
STPSH,ICATHI
STPSH,CCLEH
STPSH,STPSH
STPSH,PRODET
STPSH,Titular
STPSH,Extitular
Turismo,Turismo
Turismo,OEEH
Turismo,Titular
Turismo,Extitular
Contraloría,Contraloría
Contraloría,SEAH
Contraloría,Titular
Contraloría,Extitular
Gobierno,Gobierno
Gobierno,Indeph
Delegación,Delegación
Delegación,Titular
Delegación,Extitular
CGCG,CGCG
Despacho,Despacho
Despacho,Titular
Despacho,Extitular
IEEH,IEEH
TEEH,TEEH
TSJEH,TSJEH
UAEH,UAEH
Gabinete de Seguridad,Gabinete de Seguridad
Presidencia,Presidencia
Presidencia,Pemex
Presidencia,CFE
Presidencia,SICT
Presidencia,Conagua
Presidencia,FGR
Presidencia,GN
Presidencia,Sedena
Presidencia,Sedatu
Presidencia,Gobernación
Presidencia,Salud
Presidencia,INAH
Presidencia,Medio ambiente
Presidencia,IMPI
Presidencia,IMSS
Presidencia,ISSSTE
PRI,Titular
PRI,PRI
PAN,PAN
PRD,PRD
PT,PT
PVEM,PVEM
Panalh,Panalh
PAN,Titular
PRD,Titular
PT,Titular
PVEM,Titular
Panalh,Titular
Gabinete social,Gabinete social
Aspirantes,Simey
Aspirantes,Ochoa
CDHEH,CDHEH
CDHEH,Titular
