Medio,Programa,Autor,Canal
Acir 92.5 FM,Panorama Informativo Pachuca,Edmundo Pineda,Radio Local
Acir 92.5 FM,Panorama Informativo Pachuca,Eulalio Larrieta,Radio Local
Acir 92.5 FM,Panorama Informativo Pachuca,Julio Valera,Radio Local
Acir 92.5 FM,Panorama Informativo Pachuca,Radioescucha,Radio Local
Acir 92.5 FM,Panorama Informativo Pachuca,Raymundo Valencia,Radio Local
Acir 92.5 FM,Transmisión Especial,Redacción,Radio Local
ADN 40,A Quien Corresponda,Monica Esquivel,Tv Nacional
ADN 40,A Quién Corresponda,Jorge Zarza,Tv Nacional
ADN 40,Adn Noticias,Adn 40,Tv Nacional
ADN 40,Adn Noticias,Alejandra Molina,Tv Nacional
ADN 40,Adn Noticias,Alejandro Brofft,Tv Nacional
ADN 40,Adn Noticias,Brenda Peña,Tv Nacional
ADN 40,Adn Noticias,Carlos Trillo,Tv Nacional
ADN 40,Adn Noticias,Claudia Echeverry,Tv Nacional
ADN 40,Adn Noticias,Daniel De Rosas,Tv Nacional
ADN 40,Adn Noticias,Francisco Reyes,Tv Nacional
ADN 40,Adn Noticias,Hannia Novell,Tv Nacional
ADN 40,Adn Noticias,Hernán Hochstrasser,Tv Nacional
ADN 40,Adn Noticias,Jaquelin Servín,Tv Nacional
ADN 40,Adn Noticias,Javier Risco,Tv Nacional
ADN 40,Adn Noticias,Jorge Garralda,Tv Nacional
ADN 40,Adn Noticias,José Luis Mora,Tv Nacional
ADN 40,Adn Noticias,Juan Lecanda,Tv Nacional
ADN 40,Adn Noticias,Juan Manuel Jiménez,Tv Nacional
ADN 40,Adn Noticias,Juan Pablo De Leo,Tv Nacional
ADN 40,Adn Noticias,Leonardo Arriaga,Tv Nacional
ADN 40,Adn Noticias,Leonardo Curzio,Tv Nacional
ADN 40,Adn Noticias,Leonardo Herrera,Tv Nacional
ADN 40,Adn Noticias,Luciana Wainer,Tv Nacional
ADN 40,Adn Noticias,Lucy Bravo,Tv Nacional
ADN 40,Adn Noticias,Mara Durón,Tv Nacional
