Frecuencia,Canal,Programa
Acir 92.5 FM,Radio local,Panorama Informativo Pachuca
Azteca Hidalgo,TV local,Hechos Hidalgo
Canal 12 Huejutla,TV local,Contacto Informativo M
Canal 12 Huejutla,TV local,Contacto Informativo N
Crystal 106.1 FM,Radio local,En Portada
Hidalgo Radio 98.1 FM,Radio local,Hidalgo noticias
Ke Buena 106.7 FM,Radio local,Noticias 106.7
La Poderosa Tuxpan 93.1 FM,Radio local,NN Nuestras Noticias Zona Norte
La Poderosa Tuxpan 93.1 FM,Radio local,NN Nuestras Noticias Estados
La Poderosa Tuxpan 93.1 FM,Radio local,"NN Nuestras Noticias ""El Resumen"""
Miled 97.1 FM,Radio local,Línea en Alta Tensión
NQ 90.1 FM,Radio local,Enlace Hidalgo1
NQ 90.1 FM,Radio local,Enlace Hidalgo2
NQ 90.1 FM,Radio local,Enlace Hidalgo3
NQ 90.1 FM,Radio local,Café con piquete
Radio Lobo 96.7 FM,Radio local,Enlace Noticias
Radio Lobo 96.7 FM,Radio local,Radionotas
Radio Tepeapulco 106.9 FM,Radio local,Escaparate
Radio Tepeapulco 106.9 FM,Radio local,Las Vocales Radio
Radio UAEH 99.7,Radio local,Suma Noticias
Súper Stéreo 100.5 FM,Radio local,Enfoque Regional Matutino
Súper Stéreo 100.5 FM,Radio local,Enfoque Regional Meridiano
Súper Stéreo 100.5 FM,Radio local,Enfoque Regional Vespertino
TV Cable hidalguense Canal 6,TV local,Contigo Noticias
Ultra 102.9 FM,Radio local,Ultra Noticias1
Ultra 102.9 FM,Radio local,Ultra Noticias2
Vocero Huasteco,Radio local,Vocero Huasteco
XEIND 1470 AM,Radio local,Radio Tlanchinol
XEIND 1470 AM,Radio local,Al aire 11-4
XEIND 1470 AM,Radio local,Al aire 4-9
Canal del Pueblo,TV local,Vocales Radio
Radio Disney 95.7FM,Radio local,Inserción
Radio Disney 95.7FM,Radio local,El Despertador RD
XALTOKA 104.7 FM,Radio local,Contenido gubernamental
La Sultana de La Sierra 93.5 FM,Radio local,Contenido gubernamental
Radio Ahuatl 107.7 FM,Radio local,Contenido gubernamental
La Jacalteca 91.9 FM,Radio local,Contenido gubernamental
Ximai 103.5 FM,Radio local,Contenido gubernamental
Radio Disney 95.7FM,Radio local,Contenido gubernamental
